Cell,Cycle No,Step name,Step No,Start,End,Current_min,Current_max,Capacity_min,Capacity_max,Volt_min,Volt_max,Power_min_W,Power_max_W,Duration_s,c_rate
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,Rest,1,2025-11-26 12:24:18.056,2025-11-26 12:24:48.020,0.0,0.0,0.0,0.0,2.736172,2.736194,0.0,0.0,30.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,Rest,3,2025-11-26 12:25:12.878,2025-11-26 12:55:13.094,0.0,0.0,0.0,0.0,2.500595,2.626037,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,Rest,7,2025-11-26 15:48:33.685,2025-11-26 16:18:33.827,0.0,0.0,0.0,0.0,3.337189,3.646277,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,Rest,11,2025-11-26 20:49:35.146,2025-11-26 21:19:35.687,0.0,0.0,0.0,0.0,2.501952,2.734315,0.0,0.0,1801.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,CP_Chg,4,2025-11-26 21:19:35.722,2025-11-26 21:37:06.751,27.69,32.72,0.0,8.483,2.750541,3.25,89.994939524,90.00438701200001,1051.0,0.22
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,CP_Chg,5,2025-11-26 21:37:06.778,2025-11-27 00:12:42.697,50.0,55.13,0.0,137.922,3.264986,3.600009,179.993634558,180.000794317,9336.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,CP_Chg,6,2025-11-27 00:12:42.716,2025-11-27 00:12:46.683,73.98,74.91,0.0,0.083,3.604544,3.650053,269.999637119,270.03493329199995,4.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,CP_DChg,8,2025-11-27 00:42:47.360,2025-11-27 00:42:47.360,75.5,75.5,0.0,0.001,3.302747,3.302747,249.35717061,249.35717061,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,CP_DChg,9,2025-11-27 00:42:47.391,2025-11-27 01:23:15.580,54.44,55.38,0.0,37.257,3.249999,3.306498,179.99115129999998,180.000460406,2428.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,CP_DChg,10,2025-11-27 01:23:15.606,2025-11-27 05:16:26.215,27.41,35.99,0.0,109.28,2.499998,3.282988,89.98528845599999,90.001029962,13991.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,Rest,7,2025-11-27 00:12:46.714,2025-11-27 00:42:47.329,0.0,0.0,0.0,0.0,3.342038,3.647762,0.0,0.0,1801.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,2,Rest,11,2025-11-27 05:16:26.238,2025-11-27 05:46:26.604,0.0,0.0,0.0,0.0,2.501478,2.723226,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,CP_Chg,4,2025-11-27 05:46:26.638,2025-11-27 06:04:28.334,27.69,32.83,0.0,8.729,2.741164,3.25,89.995156883,90.005069016,1082.0,0.22
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,CP_Chg,5,2025-11-27 06:04:28.364,2025-11-27 08:40:07.718,50.0,55.12,0.0,138.045,3.265601,3.600006,179.993806592,180.00074237299998,9339.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,CP_Chg,6,2025-11-27 08:40:07.741,2025-11-27 08:40:11.701,73.98,74.82,0.0,0.082,3.608613,3.650056,270.000023942,270.03555643,4.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,CP_DChg,8,2025-11-27 09:10:12.508,2025-11-27 09:10:12.508,75.5,75.5,0.0,0.001,3.316383,3.316383,250.387171861,250.387171861,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,CP_DChg,9,2025-11-27 09:10:12.532,2025-11-27 09:55:02.366,54.41,55.38,0.0,41.251,3.25,3.308228,179.990479655,180.01128978699998,2690.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,CP_DChg,10,2025-11-27 09:55:02.389,2025-11-27 13:39:48.069,27.42,36.0,0.0,105.525,2.499995,3.281924,89.98741252500001,90.000850932,13486.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,Rest,7,2025-11-27 08:40:11.729,2025-11-27 09:10:12.477,0.0,0.0,0.0,0.0,3.343683,3.648702,0.0,0.0,1801.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,3,Rest,11,2025-11-27 13:39:48.096,2025-11-27 14:09:48.710,0.0,0.0,0.0,0.0,2.501907,2.738574,0.0,0.0,1801.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CC_DChg,2,2025-11-26 12:24:49.153,2025-11-26 12:25:07.574,50.0,50.0,0.0,0.261,2.499971,2.711197,124.993932554,135.546321127,18.0,0.33
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CP_Chg,4,2025-11-26 12:55:07.919,2025-11-26 13:12:56.119,27.69,34.15,0.0,8.649,2.635371,3.250002,89.995156661,90.013346846,1068.0,0.23
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CP_Chg,5,2025-11-26 13:12:56.145,2025-11-26 15:54:40.028,50.0,55.13,0.0,143.086,3.264962,3.600006,179.991396484,180.00289182,9704.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CP_Chg,6,2025-11-26 15:54:40.047,2025-11-26 15:54:44.595,73.98,74.93,0.0,0.094,3.603209,3.650044,270.000020274,270.032897116,5.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CP_DChg,8,2025-11-26 16:24:44.637,2025-11-26 16:24:44.637,75.5,75.5,0.0,0.0,3.305048,3.305048,249.530981883,249.530981883,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CP_DChg,9,2025-11-26 16:24:44.656,2025-11-26 17:11:58.538,54.47,55.38,0.0,43.453,3.25,3.304329,179.991793833,180.00072767,2834.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,CP_DChg,10,2025-11-26 17:11:58.559,2025-11-26 21:02:19.839,27.41,35.99,0.0,107.912,2.499983,3.283053,89.984401671,90.000807314,13821.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,Rest,1,2025-11-26 12:24:19.012,2025-11-26 12:24:49.130,0.0,0.0,0.0,0.0,2.714181,2.714203,0.0,0.0,30.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,Rest,3,2025-11-26 12:25:07.597,2025-11-26 12:55:07.896,0.0,0.0,0.0,0.0,2.500096,2.619316,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,Rest,7,2025-11-26 15:54:44.615,2025-11-26 16:24:44.610,0.0,0.0,0.0,0.0,3.340678,3.648531,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,1,Rest,11,2025-11-26 21:02:19.862,2025-11-26 21:32:20.043,0.0,0.0,0.0,0.0,2.501459,2.723344,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,CP_Chg,4,2025-11-26 21:32:20.073,2025-11-26 21:49:51.941,27.69,33.01,0.0,8.493,2.726802,3.25,89.99509083800001,90.004866853,1052.0,0.22
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,CP_Chg,5,2025-11-26 21:49:51.960,2025-11-27 00:31:49.933,50.0,55.23,0.0,143.523,3.25912,3.6,179.99349343,180.002296527,9718.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,CP_Chg,6,2025-11-27 00:31:49.964,2025-11-27 00:31:54.273,73.98,74.75,0.0,0.09,3.61213,3.65,269.999908635,270.035193849,4.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,CP_DChg,8,2025-11-27 01:01:54.134,2025-11-27 01:01:54.134,75.5,75.5,0.0,0.001,3.315752,3.315752,250.339213001,250.339213001,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,CP_DChg,9,2025-11-27 01:01:54.165,2025-11-27 01:48:33.761,54.36,55.38,0.0,42.934,3.25,3.311517,179.990974709,180.000665495,2800.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,CP_DChg,10,2025-11-27 01:48:33.781,2025-11-27 05:41:52.152,27.41,35.99,0.0,109.203,2.499954,3.283422,89.98262678900001,90.00079591699999,13998.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,Rest,7,2025-11-27 00:31:54.304,2025-11-27 01:01:54.110,0.0,0.0,0.0,0.0,3.348313,3.64776,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,2,Rest,11,2025-11-27 05:41:52.173,2025-11-27 06:11:52.523,0.0,0.0,0.0,0.0,2.500999,2.716836,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,CP_Chg,4,2025-11-27 06:11:52.556,2025-11-27 06:29:48.812,27.69,32.95,0.0,8.686,2.731705,3.25,89.995154151,90.004723145,1076.0,0.22
